
2024-09-20 14:17:33,415 DEBUG selector_events Using selector: EpollSelector
2024-09-20 14:17:34,410 DEBUG selector_events Using selector: EpollSelector
2024-09-20 14:17:56,906 DEBUG selector_events Using selector: EpollSelector
2024-09-20 14:21:52,301 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60410]
2024-09-20 14:21:52,308 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60424]
2024-09-20 14:21:52,311 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60432]
2024-09-20 14:21:52,313 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60438]
2024-09-20 14:21:52,407 DEBUG http_protocol HTTP 301 response started for ['172.24.0.7', 60432]
2024-09-20 14:21:52,409 DEBUG http_protocol HTTP close for ['172.24.0.7', 60432]
2024-09-20 14:21:52,410 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60432]
2024-09-20 14:21:52,411 INFO runserver HTTP GET /api/v1/users/online-players 301 [0.10, 172.24.0.7:60432]
2024-09-20 14:21:52,415 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60438]
2024-09-20 14:21:52,416 DEBUG http_protocol HTTP close for ['172.24.0.7', 60438]
2024-09-20 14:21:52,416 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60438]
2024-09-20 14:21:52,417 INFO runserver HTTP GET /api/v1/game/Tournament-announcements/ 200 [0.10, 172.24.0.7:60438]
2024-09-20 14:21:52,417 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60396]
2024-09-20 14:21:52,418 DEBUG http_protocol HTTP close for ['172.24.0.7', 60396]
2024-09-20 14:21:52,418 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60396]
2024-09-20 14:21:52,419 INFO runserver HTTP GET /api/v1/game/Tournament/ 200 [0.13, 172.24.0.7:60396]
2024-09-20 14:21:52,420 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60410]
2024-09-20 14:21:52,420 DEBUG http_protocol HTTP close for ['172.24.0.7', 60410]
2024-09-20 14:21:52,421 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60410]
2024-09-20 14:21:52,421 INFO runserver HTTP GET /api/v1/users/me/ 200 [0.12, 172.24.0.7:60410]
2024-09-20 14:21:52,424 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60442]
2024-09-20 14:21:52,425 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60400]
2024-09-20 14:21:52,425 DEBUG http_protocol HTTP close for ['172.24.0.7', 60400]
2024-09-20 14:21:52,426 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60400]
2024-09-20 14:21:52,426 INFO runserver HTTP GET /api/v1/users/friend-list 200 [0.13, 172.24.0.7:60400]
2024-09-20 14:21:52,429 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60424]
2024-09-20 14:21:52,430 DEBUG http_protocol HTTP close for ['172.24.0.7', 60424]
2024-09-20 14:21:52,430 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60424]
2024-09-20 14:21:52,431 INFO runserver HTTP GET /api/v1/users/top-players/ 200 [0.12, 172.24.0.7:60424]
2024-09-20 14:21:52,465 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60442]
2024-09-20 14:21:52,467 DEBUG http_protocol HTTP close for ['172.24.0.7', 60442]
2024-09-20 14:21:52,469 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60442]
2024-09-20 14:21:52,470 INFO runserver HTTP GET /api/v1/users/online-players/ 200 [0.05, 172.24.0.7:60442]
2024-09-20 14:21:52,507 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 60452]
2024-09-20 14:21:52,554 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 60452]
2024-09-20 14:21:52,554 DEBUG http_protocol HTTP close for ['172.24.0.7', 60452]
2024-09-20 14:21:52,555 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 60452]
2024-09-20 14:21:52,555 INFO runserver HTTP GET /api/v1/users/rank-logs/ 200 [0.05, 172.24.0.7:60452]
2024-09-20 14:28:24,360 DEBUG selector_events Using selector: EpollSelector
2024-09-20 14:28:25,380 DEBUG selector_events Using selector: EpollSelector
2024-09-20 14:28:28,467 DEBUG ws_protocol WebSocket closed for ['172.24.0.7', 60358]
2024-09-20 14:28:28,467 INFO runserver WebSocket DISCONNECT /ws/user/connect/ [172.24.0.7:60358]
2024-09-20 14:28:28,680 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 59894]
2024-09-20 14:28:28,696 INFO runserver WebSocket HANDSHAKING /ws/user/connect/ [172.24.0.7:59900]
2024-09-20 14:28:28,697 DEBUG http_protocol Upgraded connection ['172.24.0.7', 59900] to WebSocket
2024-09-20 14:28:28,701 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 59914]
2024-09-20 14:28:28,740 DEBUG http_protocol HTTP 200 response started for ['172.24.0.7', 59894]
2024-09-20 14:28:28,740 DEBUG http_protocol HTTP close for ['172.24.0.7', 59894]
2024-09-20 14:28:28,743 DEBUG http_protocol HTTP response complete for ['172.24.0.7', 59894]
2024-09-20 14:28:28,744 INFO runserver HTTP GET /api/v1/users/me/ 200 [0.06, 172.24.0.7:59894]
2024-09-20 14:28:28,748 DEBUG http_protocol HTTP b'GET' request for ['172.24.0.7', 59928]
